"fuel_stations.city","fuel_stations.state","fuel_stations.zip","fuel_stations.plus4","fuel_stations.status_code","fuel_stations.access_code"
"Salem","OR","97301",NA,"E","public"
"Portland","OR","97213",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Klamath Falls","OR","97601",NA,"E","public"
"Klamath Falls","OR","97601",NA,"E","public"
"Hermiston","OR","97838",NA,"E","public"
"Portland","OR","97202",NA,"E","public"
"Portland","OR","97209",NA,"E","private"
"Ontario","OR","97914",NA,"E","public"
"St. Helens","OR","97051",NA,"E","public"
"Gresham","OR","97030",NA,"E","public"
"Enterprise","OR","97828",NA,"E","public"
"Astoira","OR","97103",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"Salem","OR","97304",NA,"E","public"
"Keizer","OR","97303",NA,"E","public"
"Portland","OR","97227",NA,"E","public"
"Portland","OR","97212",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Portland","OR","97230",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Keizer","OR","97303",NA,"E","public"
"North Plains","OR","97133",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Hillsboro","OR","97006",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Portland","OR","97213",NA,"E","private"
"Sisters","OR","97759",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Portland","OR","97213",NA,"E","public"
"Tillamook","OR","97141",NA,"E","public"
"Mitchell","OR","97750",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Woodburn","OR","97071",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Newberg","OR","97132",NA,"E","public"
"Newberg","OR","97132",NA,"E","private"
"Portland","OR","97227",NA,"E","public"
"Portland","OR","97227",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97302",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Newberg","OR","97132",NA,"E","public"
"Newberg","OR","97132",NA,"E","public"
"St. Helens","OR","97051",NA,"E","public"
"Portland","OR","97218",NA,"E","public"
